Phylum	Class	Order	Family	Genus	species	Common name	NCBI taxon ID	Genome accession #	Bioproject #	DOI of manuscript 	Submission date	Number of genomes for the species	Assembled length	Contig N50	Estimated genome size	Sequencing coverage	Assembler	Sequencing technology	Read length	BUSCO % complete (combined) 	BUSCO % complete and singly copy 	BUSCO  % complete and duplicated 	BUSCO  % fragmented 	BUSCO  % missing 	Chromosome number 	Ploidy number	Submitting institution 	Country of submission	Continent of submission	Domestication status
Tracheophyta	Magnoliopsida	Rosales	Moraceae	Artocarpus	heterophyllus					https://doi.org/10.3390/genes11010027	16/10/19		982020585	26681	1005000000		Platanus	Illumina	short  								BGI-Shenzhen	China	Asia	Cultivated
Tracheophyta	Magnoliopsida	Rosales	Moraceae	Broussonetia	papyrifera					DOI:https://doi.org/10.1016/j.molp.2019.01.021	26/02/19	1	386830000	171170	380000000		ALLPATHs	PacBio and Illumina	long								The Chinese Academy of Sciences	China	Asia	Natural commodity
Tracheophyta	Magnoliopsida	Rosales	Moraceae	Ficus	carica	common fig	3494	GCA_009761775.1	PRJNA565858	https://doi.org/10.1111/tpj.14635	18/12/19	2	333439967	823517	94077797	74	FALCON-Unzip v. v0.5	PacBio Sequel	long	90,5	84	6,5	3,5	6			University of Pisa	Italy	Europe	Domesticated
Tracheophyta	Magnoliopsida	Rosales	Moraceae	Ficus	erecta		66383	GCA_008635985.1	PRJDB8644		18/09/19	1	595834738	697200	185635621	62,5	FALCON-integrate v. 1.8.8	PacBio Sequel	long	96,8	30,4	66,4	0,5	2,7			Kazusa DNA Research Institute	Japan	Asia	Wild relative
Tracheophyta	Magnoliopsida	Rosales	Moraceae	Ficus	hispida					DOI:https://doi.org/10.1016/j.cell.2020.09.043	08/10/20	1															University of Illinois at Urbana-Champaign and Chinese Academy of Sciences	USA and China	Multiple-North America and Asia	Wild
Tracheophyta	Magnoliopsida	Rosales	Moraceae	Ficus	microcarpa					DOI:https://doi.org/10.1016/j.cell.2020.09.043	08/10/20	1															University of Illinois at Urbana-Champaign and Chinese Academy of Sciences	USA and China	Multiple-North America and Asia	Wild
Tracheophyta	Magnoliopsida	Rosales	Moraceae	Morus	alba	white mulberry	3498	GCA_012066045.3	PRJNA597121		13/10/20	2	336436126	3089666	94565324	147	"canu v. December-2018; smartdenovo v. December-2018; juicer v. December-2018; 3d-dna v. December-2018"	"Illumina HiSeq; Oxford Nanopore"	long	95,6	94,5	1,1	1,7	2,7			"Northwest A&amp;F University"	China	Asia	Cultivated
Tracheophyta	Magnoliopsida	Rosales	Moraceae	Morus	notabilis		981085	GCA_000414095.2	PRJNA202089		07/08/13	2	320378613	40438	253440431	236	SOAPdenovo v. 1.05	Illumina HiSeq2000	short	95	91,8	3,2	2,2	2,8			BGI	China	Asia	Natural commodity
Tracheophyta	Magnoliopsida	Rosales	Podostemaceae	Cladopus	chinensis					https://doi.org/10.1038/s41438-020-0269-5	01/04/20		827920000	1420000	659420000		Canu 	PacBio and Illumina	long 								Fujian Normal University	China	Asia	Wild
Tracheophyta	Magnoliopsida	Rosales	Rhamnaceae	Ochetophila	trinervis		262936	GCA_003254975.1	PRJNA374770		19/06/18	1	309116026	70118	98243880	294	Platanus v. 1	Illumina HiSeq	short	96,6	95,5	1,1	0,7	2,7			BGI	China	Asia	Wild
Tracheophyta	Magnoliopsida	Rosales	Rhamnaceae	Rhamnella	rubrinervis		2594499	GCA_007844105.2	PRJNA554263		20/03/20	1	245347936	3075000	197517442	69,3	Canu v. 1.8	Oxford Nanopore GridION	long	96,1	94,6	1,5	1,2	2,7			Lanzhou University	China	Asia	Wild
Tracheophyta	Magnoliopsida	Rosales	Rhamnaceae	Ziziphus	jujuba	common jujube	326968	GCA_001835785.2	PRJNA306374		05/02/20	3	362583438	2172811	101926556	113,06	FALCON-Unzip v. DEC-2018	PacBio Sequel	long	95,9	94,2	1,7	0,8	3,3			Jujube genome sequencing	China	Asia	Cultivated
Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Cerasus	serrulata					https://doi.org/10.1038/s41438-020-00382-1	03/07/20		265400000	1560000	256650000		 Canu v1.538 and WTDBG v1.13	Oxford nanopore and Illumina	long 								Nanjing Forestry University	China	Asia	Wild relative 
Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Cydonia	oblonga	quince	36610	GCA_015708375.1	PRJNA675337	 https://doi.org/10.1038/s41598-021-83113-3	01/12/20	1	488422409	2435	162574639	108	SOAPdenovo v. 2	Illumina NovaSeq	short	61,5	52,3	9,2	18,5	20	34	2	Necmettin Erbakan University	Turkey	Europe	Domesticated
Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Dryas	drummondii		48231	GCA_003254865.1	PRJNA374770		19/06/18	1	225547060	91538	70248966	777	Platanus v. 1	Illumina HiSeq	short	92,8	90,2	2,6	1,1	6,1			BGI	China	Asia	Wild
Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Eriobotrya	japonica	loquat				doi: 10.1093/gigascience/giaa015	06/03/20	2	760100000	5020000	710830000	132	Canu, SMARTdenovo, and Racon, and Pilon 	Oxford Nanopore and illumina	long 								Shanghai Academy of Agricultural Sciences	China	Asia	Cultivated
Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Fragaria	ananassa	strawberry	3747	GCA_000511835.1	PRJDB1477	doi: 10.1093/dnares/dst049	06/12/13	1	697762269	1355	201015652	398,8	SOAPdenovo v. 1.05	"Illumina GAIIx; Illumina HiSeq1000"	short	28,1	23,4	4,7	31,7	40,2			Kazusa DNA Research Institute	Japan	Asia	Domesticated
Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Fragaria	iinumae		64939	GCA_009720345.1	PRJNA544784		29/11/19	2	240581984	10669041	69623093	279,37	FALCON v. 0.3.0	PacBio Sequel	long	97,2	95,1	2,1	0,6	2,2			School of Agriculture, Yunnan University	China	Asia	Wild relative
Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Fragaria	nilgerrensis		64941	GCA_010134655.1	PRJNA592576		04/02/20	1	270303199	9793045	77997474	56	"FALCON v. 3.0; Canu v. 1.5"	"PacBio; Illumina HiSeq"	long	92,7	88,7	4	1,8	5,5			Shenyang Agricultural University	China	Asia	Wild
Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Fragaria	nipponica		101012	GCA_000512025.1	PRJDB1479		06/12/13	1	206414839	1273	63344738	341,3	SOAPdenovo v. 1.05	Illumina HiSeq1000	short	36,8	36,4	0,4	29,2	34			Kazusa DNA Research Institute	Japan	Asia	Wild relative
Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Fragaria	nubicola		60188	GCA_000511995.1	PRJDB1480		06/12/13	1	203686407	1288	62342290	351,5	SOAPdenovo v. 1.05	Illumina HiSeq1000	short	33,8	33	0,8	31,6	34,6			Kazusa DNA Research Institute	Japan	Asia	Wild
Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Fragaria	orientalis		101013	GCA_000517285.1	PRJDB1481		06/12/13	1	214184023	721	67300702	203,4	SOAPdenovo v. 1.05	Illumina HiSeq1000	short	11,5	11,1	0,4	28,8	59,7			Kazusa DNA Research Institute	Japan	Asia	Wild
Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Fragaria	vesca		101020	GCA_000184155.1	PRJNA60037		22/12/10	2	214217322	28030	59406994	49	Celera Assembler (CA) v. 5.3	"454; Solexa"	short	96,5	95	1,5	1,4	2,1	14	2	Virginia Bioinformatics Institute	USA	North America	Wild relative
Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Fragaria	viridis					https://doi.org/10.1093/molbev/msaa238	17/10/20	1	214900000	3500000	219000000			PacBio and Illumina	long 								Chinese Academy of Sciences	China	Asia	Wild relative 
Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Geum	urbanum		57919	GCA_900236755.1	PRJEB23412		17/01/18	1	1217035493	19977	394221178	25			short	95,9	34,1	61,8	1	3,1	42		University of Edinburgh	Scotland	Europe	Wild
Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Gillenia	trifoliata					doi: 10.1073/pnas.2101767118			280760000	828000	320170000	898		PacBio and Illumina	long								Shanghai Jiao Tong University	China 	Asia	Cultivated
Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Malus	baccata	shan jing zi	106549	GCA_006547085.1	PRJNA428857		03/07/19	1	674411566	54716	512779900	248	"SOAPdenovo v. 2.04.4; SSPACE v. 2.0; GapCloser v. 1.10"	Illumina HiSeq	short	93,7	65,2	28,5	2,5	3,8	34	2	"Northwest A&amp;F University"	China	Asia	Wild relative
Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Malus	domestica	apple	3750	GCA_004115385.1	PRJNA482033	https://doi.org/10.1038/s41467-019-09518-x	29/01/19	4	660462720	6988123	503414998	100	FALCON v. 0.4	PacBio RSII	long	96,5	62,9	33,6	0,6	2,9			nextomics	China	Asia	Domesticated
Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Malus	sylvestris					 https://doi.org/10.1038/s41588-020-00723-9	01/12/20		667700000	3483045			"DeNovoMAGIC3;  HiCanu"	PacBio and Illumina	long 								US Department of Agriculture	USA	North America	Wild relative 
Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Potintilla	micrantha					https://doi.org/10.1093/gigascience/giy010	15/02/18	1	326533584	16235	405870000		PBJelly and ALLPATHS	PacBio and Illumina	long 								Research and Innovation Centre	Italy 	Europe	Wild
Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Prunus	armeniaca	apricot	36596	GCA_903112645.1	PRJEB37669	doi: 10.1186/s13059-020-02235-5	08/07/20	2	215952222	25835044	187133596	40			long	95,8	94,4	1,4	1,4	2,8	16	2	Max Planck Institute Plant Breeding	Germany	Europe	Domesticated
Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Prunus	avium		42229	GCA_014155035.1	PRJNA596862	DOI: 10.7717/peerj.9114	11/08/20	6	344341978	3247195	87464652	1	Necat v. 0.01	"Oxford Nanopore PromethION; Illumina HiSeq"	long	96,6	93,9	2,7	0,9	2,5	16		Shandong Institute of Pomology	China	Asia	Domesticated
Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Prunus	domestica					https://doi.org/10.1038/s41438-020-00438-2	01/01/21		1399321220				DeNovoMAGIC	Illumina and 10x 	short 								Appalachian Fruit Research Station	USA	North America	Domesticated
Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Prunus	dulcis	almond	3755	GCA_902201215.1	PRJEB32994	DOI: 10.1111/tpj.14538	10/10/19	3	227599157	115182	198955178	800			long	96,1	91,8	4,3	0,5	3,4	16	2	CNAG	Spain	Europe	Domesticated
Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Prunus	mume	Japanese apricot	102107	GCA_000346735.1	PRJNA171605	https://doi.org/10.1038/ncomms2290	18/03/13	2	233872527	32259	62619399	180	SOAPdenovo v. 1.05	Illumina Hiseq2000	short	96,3	93,4	2,9	1,7	2			BGI	China	Asia	Domesticated
Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Prunus	persica	peach	3760	GCA_015730445.1	PRJNA663120	https://doi.org/10.1186/s13059-020-02239-1	03/12/20	6	239052840	11482534	67363132	589,74	Celera Assembler v. 1.8	PacBio RSII	long	97,6	94,9	2,7	0,9	1,5	16	2	Beijing Academy of Agriculture and Forestry Sciences	China	Asia	Domesticated
Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Prunus	salicina	Japanese plum	88123	GCA_014863905.1	PRJNA574159	https://doi.org/10.1093/gigascience/giaa130	08/10/20	1	284209110	1777944	79686032	255	FALCON v. 0.3.0	"Illumina HiSeq; PacBio Sequel"	long	97,2	93	4,2	0,6	2,2			South China Agricultural University	China	Asia	Domesticated
Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Prunus	yedoensis	Cheju native flowering cherry	3759	GCA_005406145.1	PRJDB7997		18/03/19	3	690105700	918183	209537041	54	FALCON-integrate v. 2.1.2	Sequel	long	97,4	7,1	90,3	0,4	2,2			Kazusa DNA Research Institute	Japan	Asia	Natural commodity
Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Purshia	tridentata	bitterbrush	32243	GCA_003254885.1	PRJNA374770		19/06/18	1	175970657	33040	56421206	203	Platanus v. 1	Illumina HiSeq	short	93,7	92,3	1,4	3,4	2,9			BGI	China	Asia	Natural commodity
Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Pyrus	bretschneideri	Chinese white pear	225117	GCA_000315295.1	PRJNA157875	 DOI: 10.1101/gr.144311.112	03/12/12	2	508550595	33767	141812357	107,6	BAC to BAC v. unpublished	Illumina HS2000	short	85,5	54,5	31	1,2	13,3			Nanjing Agricultural University	China	Asia	Domesticated
Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Pyrus	communis	bartlett pear				https://doi.org/10.1371/journal.pone.0092644	03/04/14	1	577300000	6569	600000000	11		Roche 454	short								he New Zealand Institute for Plant & Food Research Limited 	New Zealand	Oceania	Domesticated
Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Pyrus	ussuriensis		2448454	GCA_008932095.1	PRJNA494996		11/10/19	1	510637391	1277337	400761888	123	"Canu v. 1.5; WTDBG v. 2018"	PacBio Sequel	long	89,4	62,3	27,1	1,2	9,4			Research Institute of Pomology Chinese Academy of Agricultural Sciences	China	Asia	Wild relative
Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Rosa	chinensis	chineese rose 				https://doi.org/10.1038/s41588-018-0110-3	30/04/18		515000000	24000000	560000000	80	Canu,  FALCON	PacBio RS II	long	96,5							Univ Lyon	France 	Europe	Domesticated
Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Rosa	damascena	damask rose	3765	GCA_001662545.1	PRJNA322107		13/06/16	1	711719955	5837	228573727	84	Platanus v. 1.2.4	Illumina HiSeq	short	69,5	62,3	7,2	12,9	17,6	28	4	"BIO-FD&amp;C CO.,LTD"	China	Asia	Cultivated
Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Rosa	lucieae	memorial rose	74648	GCA_006954505.1	PRJNA504542		12/07/19	1	786105075	9720	256515394	50,1	Discovar de novo v. MARCH-2016	Illumina HiSeq	short	83,8	56,1	27,7	10,7	5,5			Research Institute for Agriculture, Fisheries and Food (ILVO)	Belgium	Europe	Wild
Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Rosa	multiflora	Japanese rose	74647	GCA_002564525.1	PRJDB4738		13/10/17	1	739637845	16875	213530373	327	SOAPdenovo v. 2-rev240, GapCloser v. 1.10,L_RNA_scaffolder	Illumina HiSeq2000, Illumina MiSeq	short	88,6	63,6	25	6	5,4	14		Kazusa DNA Research Institute	Japan	Asia	Wild
Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Rosa	roxburghii					https://doi.org/10.1371/journal.pone.0147530	05/02/16	1	409360000	14840	480970000		SOAPdenovo 	Illumina HiSeq	short								Guizhou Engineering Research Center for Fruit Crops	China	Asia	Domesticated
Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Rubus	occidentalis	black raspberry 				doi: 10.1093/gigascience/giy094	09/08/18	3	290000000	5100000		156	Canu and Pilon 	PacBio and Illumina	long 									USA	North America	Domesticated
Tracheophyta	Magnoliopsida	Rosales	Ulmaceae	Ulmus	americana	American elm	29740	GCA_010015005.2	PRJNA390847		10/11/20	1	1260149910	60124	407776540	110	SPAdes v. 2020	Illumina	short	79	78,1	0,9	11,3	9,7			IRIDIAN GENOMES	USA	North America	Natural commodity
Tracheophyta	Magnoliopsida	Rosales	Urticaceae	Boehmeria	nivea	Chinese silk-plant	83906	GCA_002937015.1	PRJNA417329		21/02/18	2	344616830	24523	98615438	256	Platanus v. 2.23	Illumina HiSeq	short	95,3	89,2	6,1	1,9	2,8			Institute of Bast Fiber Crops, Chinese Academy of Agricultural Sciences	China	Asia	Cultivated
Tracheophyta	Magnoliopsida	Santalales	Olacaceae	Malania	oleifera					https://doi.org/10.1093/gigascience/giy164	24/01/19		1519782615	1218690	150000000		"Canu v1.6; MECAT v1.1"	Illumina, PacBio, and 10x genomics 									 Beijing Forestry Universit	China	Asia	Wild
Tracheophyta	Magnoliopsida	Santalales	Santalaceae	Santalum	album	white sandalwood	35974	GCA_002911635.1	PRJNA411901		01/02/18	3	196100524	4363285	62746844	75	MECAT v. 1.0	Oxford Nanopore	long	22,3	22	0,3	19	58,7	20		Hainan University	China	Asia	Natural commodity
Tracheophyta	Magnoliopsida	Sapindales	Anacardiaceae	Mangifera	indica	mango	29780	GCA_011075055.1	PRJNA487154	https://doi.org/10.1186/s13059-020-01959-8	10/03/20	1	391961648	3579047	110645780	240	Canu v. 1.8	Pacbio Sequel II	long	97,4	81,4	16	0,8	1,8	40	4	Beijing Institute of Genomics, Chinese Academy of Sciences	China	Asia	Domesticated
Tracheophyta	Magnoliopsida	Sapindales	Anacardiaceae	Pistacia	vera	pistachio	55513	GCA_008641045.1	PRJNA526975	DOI: 10.1186/s13059-019-1686-3	23/09/19	2	671119336	715870	408956202	374	PBJelly v. 15.8.24	PacBio Sequel	long	95	76,3	18,7	1,5	3,5			Chinese Academy of Sciences	China	Asia	Domesticated
Tracheophyta	Magnoliopsida	Sapindales	Anacardiaceae	Sclerocarya	birrea	Marula				 doi:10.1093/gigascience/giy152	08/03/19	1	213739255	19154			SOAPdenovo	Illumina	short								BGI-Shenzhen	China	Asia	Cultivated
Tracheophyta	Magnoliopsida	Sapindales	Anacardiaceae	Toxicodendron	radicans	eastern poison ivy	43853	GCA_009867345.1	PRJNA578918		14/01/20	1	454874194	14183	149588330	80	SPAdes v. 2019	Illumina	short	75,6	74,6	1	10,8	13,6			IRIDIAN GENOMES	USA	North America	Natural commodity
Tracheophyta	Magnoliopsida	Sapindales	Burseraceae	Boswellia	sacra	frankincense	173701	GCA_013180625.1	PRJNA379064		28/05/20	1	430959018	4246	131869493	120	Platanus v. 1.2.4	Illumina NovaSeq	short	48,1	47,1	1	20,1	31,8			University of Nizwa	Oman	Asia	Natural commodity
Tracheophyta	Magnoliopsida	Sapindales	Meliaceae	Azadirachta	indica	Indian-lilac	124943	GCA_000439995.3	PRJNA176672		16/06/15	1	261121960	3497	256942731	21	"Velvet v. 1.2.07; MIRA v. 3.4.0.2; cd-hit-est v. 4.5.4"	Illumina HiSeq	short	66,9	65,7	1,2	21,5	11,6	28		Centre for Cellular and Molecular Plateforms	India	Asia	Cultivated
Tracheophyta	Magnoliopsida	Sapindales	Meliaceae	Toona	sinensis					https://doi.org/10.1111/1755-0998.13318	09/01/21		596000000	1500000													Fuyang Normal University	China	Asia	Cultivated
Tracheophyta	Magnoliopsida	Sapindales	Rutaceae	Atalantia	buxifolia		76974	GCA_002013935.1	PRJNA327148		03/03/17	1	315806082	45293	90820187	423	SOAPdenovo v. 2	"Illumina HiSeq; PacBio"	long	97,4	94,3	3,1	0,9	1,7			Huazhong Agriculture University	China	Asia	Wild relative
Tracheophyta	Magnoliopsida	Sapindales	Rutaceae	Citrus	cavaleriei	Ichang papeda	2709	GCA_002013975.2	PRJNA321657		24/01/18	1	357621245	98291	103194080	164	SOAPdenovo v. 2	Illumina HiSeq	short	97,7	91,1	6,6	0,7	1,6			Huazhong Agriculture University	China	Asia	Wild relative
Tracheophyta	Magnoliopsida	Sapindales	Rutaceae	Citrus	clementina	clementine	85681	GCA_000493195.1	PRJNA223006	oi: 10.1038/nbt.2906	08/11/13	2	301364702	109915	235551871	6,96	ARACHNE v. 2007101641HA	ABI 3739	short	97,1	96	1,1	1,3	1,6			International Citrus Genome Consortium	Spain	Europe	Domesticated
Tracheophyta	Magnoliopsida	Sapindales	Rutaceae	Citrus	grandis	wild citrus				https://doi.org/10.1038/ng.3839	01/01/17			2200000				PacBio	long 									China	Asia	Wild relative 
Tracheophyta	Magnoliopsida	Sapindales	Rutaceae	Citrus	hindsii	Hong Kong kumquat	159041	GCA_004802465.1	PRJNA487160	doi: 10.1111/pbi.13132	22/04/19	1	373170204	2206231	115594587	145	Mecat v. 1.0	PacBio Sequel	long	96,9	78,4	18,5	0,6	2,5			Huazhong Agricultural University	China	Asia	Domesticated
Tracheophyta	Magnoliopsida	Sapindales	Rutaceae	Citrus	ichangensis	wild citrus				https://doi.org/10.1038/ng.3839	01/01/17			504000			SOAPdenovo	Illumina HiSeq	short									China	Asia	Wild relative 
Tracheophyta	Magnoliopsida	Sapindales	Rutaceae	Citrus	maxima	buntan	37334	GCA_002006925.1	PRJNA318855	https://doi.org/10.1038/ng.3839	07/03/17	1	345757338	2916345	95641710	426	HGAP v. 2.3	"PacBio; Illumina HiSeq"	long	97,5	96	1,5	0,7	1,8			Huazhong Agriculture University	China	Asia	Domesticated
Tracheophyta	Magnoliopsida	Sapindales	Rutaceae	Citrus	medica	Buddha's hand	171251	GCA_002013955.2	PRJNA320023		24/01/18	1	406057947	70586	114326953	171	SOAPdenovo v. 2	Illumina HiSeq	short	97,4	89,4	8	0,9	1,7	18	2	Huazhong Agriculture University	China	Asia	Cultivated
Tracheophyta	Magnoliopsida	Sapindales	Rutaceae	Citrus	paradisi	citrumelo	309804	GCA_001929425.1	PRJNA224728	 doi: 10.1186/s12864-016-2779-y	03/01/17	1	265533993	2091	86983037	24	CLC NGS Cell v. 6.0.1	Illumina HiSeq	short	58,9	58,2	0,7	25,7	15,4	18	2	Citrus research and education center, University of Florida	USA	North America	Domesticated
Tracheophyta	Magnoliopsida	Sapindales	Rutaceae	Citrus	reticulata	mandarin orange	85571	GCA_003258625.1	PRJNA388397	DOI: 10.1016/j.molp.2018.06.001 	20/06/18	1	344273335	97052	107033871	200	Platanus v. 1.2.4	Illumina HiSeq	short	97,5	95,8	1,7	1,4	1,1		2	Huazhong Agriculture University	China	Asia	Domesticated
Tracheophyta	Magnoliopsida	Sapindales	Rutaceae	Citrus	sinensis	sweet orange	2711	GCA_000317415.1	PRJNA86123	https://doi.org/10.1038/ng.2472	12/12/12	3	327669411	49892	84918585	214	SOAPdenovo v. April 2011	Illumina	short	97,6	95,9	1,7	0,7	1,7	18	2	China sweet orange genome project	China	Asia	Domesticated
Tracheophyta	Magnoliopsida	Sapindales	Rutaceae	Citrus	unshiu	satsuma mandarin	55188	GCA_002897195.1	PRJDB5882	DOI: 10.3389/fgene.2017.00180 	21/12/17	2	359652061	25953	291395206	144	"PLATANUS v. 1.2.2; Opera v.1.3.1; PBJelly v. 14.1.14"	"Illumina HiSeq; PacBio RS II"	long	94,8	93,9	0,9	2,5	2,7			Genomics, Citrus Research Division, Institute of Fruit Tree and Tea Science, NARO	Japan	Asia	Domesticated
Tracheophyta	Magnoliopsida	Sapindales	Rutaceae	Poncirus	trifoliata					 https://doi.org/10.1111/tpj.14993	27/09/20		264900000	842800			FALCON	PacBio	long 								University of Florida	USA	North America	Wild relative
Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	truncatum					doi: 10.1111/tpj.14954	01/11/20	1	633280000	773170	653440000	295	Faclon 	PacBio and Illumina	long 								Jiangsu Key Laboratory for Horticultural Crop Genetic Improvement	China	Asia	Natural commodity
Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	yangbiense		1000413	GCA_008009225.1	PRJNA524417		23/08/19	1	664928911	5864378	485335202	100	SMARTDENOVO v. 1.0	PacBio Sequel	long	96,9	93,6	3,3	1,1	2			Ori-Gene Co. Ltd.	USA	North America	Wild
Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Dimocarpus	longan	longan 				doi: 10.1093/gigascience/gix023	05/06/17	1	471880000	26040	445000000	273	SOAPdenovo 	Illumina HiSeq 	long 								Fujian Agriculture and Forestry University	China	Asia	Cultivated
Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Xanthoceras	sorbifolium	yellow-horn	99658	GCA_003430845.1	PRJNA483857		29/08/18	1	504383062	1044891	141807616	122	FALCON v. JULY-2018	PacBio Sequel	long	96,2	91,7	4,5	1,8	2			Chinese Academy of Forestry	China	Asia	Wild
Tracheophyta	Magnoliopsida	Saxifragales	Crassulaceae	Kalanchoe	fedtschenkoi	South American air plant	63787	GCA_002312845.1	PRJNA397334		19/09/17	1	256351415	37149	77487704	70	Platanus v. 1.2.1	Illumina MiSeq	short	91,5	85,3	6,2	4	4,5			Oak Ridge National Laboratory	USA	North America	Wild
Tracheophyta	Magnoliopsida	Saxifragales	Crassulaceae	Kalanchoe	laxiflora					https://phytozome.jgi.doe.gov/pz/portal.html#!info?alias=Org_Klaxiflora			422000000	137200	489000000		ARACHNE	PacBio	long								JGI	USA	North America	Cultivated
Tracheophyta	Magnoliopsida	Saxifragales	Crassulaceae	Rhodiola	crenulata					doi:10.1093/gigascience/gix033		1	344500000	25400	420200000	290	SOAPdenovo	Illumina	short									China	Asia	Natural commodity
Tracheophyta	Magnoliopsida	Saxifragales	Crassulaceae	Sedum	album		23029	GCA_006409495.1	PRJNA488791		24/06/19	1	302250854	93122	94711634	55	FALCON v. 0.2.2	PacBio RSII	long	91,7	57,3	34,4	2,9	5,4	34	2	Michigan State University	USA	North America	Wild
Tracheophyta	Magnoliopsida	Saxifragales	Hamamelidaceae	Rhodoleia	championii		54456	GCA_008932045.1	PRJNA529342		09/10/19	1	105726031	381	37836556	10	Edena v. 3.131028	Illumina HiSeq	short	0,2	0,2	0	3,3	96,5			Sun Yat-sen University	China	Asia	Wild
Tracheophyta	Magnoliopsida	Saxifragales	Paeoniaaceae	Paeonia	suffruticosa					https://doi.org/10.1002/ece3.5965	12/05/20		13793297086	49937	13660000000		FALCON	PacBio									Luoyang Academy of Agricultural and Forestry Sciences	China	Asia	Cultivated
Tracheophyta	Magnoliopsida	Solanales	Convolvulaceae	Cuscuta	australis		267555	GCA_003260385.1	PRJNA394036		22/06/18	1	262630465	3625894	208596658	97,6	Canu v. Oct-2016	"PacBio; Illumina HiSeq"	long	85,3	83,4	1,9	2,4	12,3			Kunming Institute of Botany, Chinese Academy of Sciences	China	Asia	Feral
Tracheophyta	Magnoliopsida	Solanales	Convolvulaceae	Cuscuta	campestris	field dodder	132261	GCA_900332095.1	PRJEB19879		12/04/18	1	476791533	48808	144086042	60			long	89	20,5	68,5	0,8	10,2		8	RWTH Aachen	Germany	Europe	Feral
Tracheophyta	Magnoliopsida	Solanales	Convolvulaceae	Ipomoea	batatas	sweet potato	4120	GCA_002525835.2	PRJNA301667	https://doi.org/10.1038/s41477-017-0002-z	16/10/17	2	837013208	6504	214323667	67	"Newbler v. 3.0; PLANTUS v. 1.0; Ranbow v. 1.0; SSPACE v. 3.0"	Illumina	short	69,5	51,7	17,8	13,6	16,9	60	4	Max Planck Institute Molecular Genetics	Germany	Europe	Domesticated
Tracheophyta	Magnoliopsida	Solanales	Convolvulaceae	Ipomoea	nil	Japanese morning glory	35883	GCA_001879475.1	PRJDB4356		01/09/16	2	734803190	1873359	664519854	1231	"HGAP v. 3 (Contig Assembly); BESST v. 2.1.0 (Scaffolding); PBJelly v. 15.8.24 (Gap-filling)"	"PacBio; Illumina HiSeq"	long	95,6	91	4,6	1,1	3,3	30	2	Laboratory of biological diversity / Hoshino group, National Institute for Basic Biology, National Institutes of Natural Sciences	Japan	Asia	Cultivated
Tracheophyta	Magnoliopsida	Solanales	Convolvulaceae	Ipomoea	purpurea	common morning-glory	4121	GCA_009835305.1	PRJNA515629		09/01/20	1	194325437	12551	62852803	0,2	"ABySS v. Aug-2015; DBG2OLC v. Aug-2015"	"Illumina; PacBio"	long	12,5	12,3	0,2	5,6	81,9	30	2	Penn State	USA	North America	Cultivated
